defender1_x,defender1_y,defender2_x,defender2_y,defender3_x,defender3_y,defender4_x,defender4_y,defender5_x,defender5_y,defender6_x,defender6_y,defender7_x,defender7_y,defender8_x,defender8_y,defender9_x,defender9_y,defender10_x,defender10_y,defender11_x,defender11_y,offensive_alignment,possessionTeamScoreDiff,quarter,down,yards_to_go,deepest_safety_depth,next_deepest_safety_depth,middle_field_count,outside_field_count,players_near_los,players_in_box,avg_defender_depth,std_defender_depth,avg_cb_depth,min_cb_depth,avg_safety_distance,lateral_spread,target_y
0.75,31.7,0.4,18.78,0.35,15.49,3.39,27.36,15.66,26.24,0.13,24.87,3.9,20.28,0.6,41.83,0.34,21.41,0.1,29.22,0.45,36.19,1.0,1.0,3.0,2.0,2.0,15.66,0.35,9.0,2.0,8.0,8.0,2.37,4.387,0.6,0.45,13.29,26.34,0.0
3.85,24.63,16.92,26.2,3.54,20.46,0.03,26.66,0.16,18.58,3.27,32.19,0.01,29.86,3.38,15.72,0.16,22.38,4.06,27.6,8.41,36.73,1.0,0.0,1.0,2.0,1.0,16.92,3.27,10.0,1.0,4.0,9.0,3.9809,4.7549,5.895,3.38,12.9391,21.01,2.0
0.16,31.17,0.57,26.91,12.23,31.89,4.55,28.78,4.11,23.11,0.59,23.49,1.6,45.23,0.56,21.57,4.13,13.32,1.65,36.09,5.85,19.01,0.0,1.0,1.0,2.0,2.0,12.23,5.85,8.0,3.0,4.0,6.0,3.2727,3.3968,2.46,1.6,8.9573,31.91,0.0
0.81,18.35,0.74,21.44,1.5,10.32,1.09,29.67,1.03,23.94,10.04,29.69,4.21,21.37,4.99,24.41,14.2,15.95,6.53,35.53,0.72,26.67,2.0,0.0,4.0,2.0,2.0,14.2,10.04,9.0,2.0,6.0,7.0,4.1691,4.2931,4.015,1.5,10.0309,25.21,3.0
0.3,36.37,4.21,28.06,13.97,33.68,0.26,26.64,13.49,16.34,3.9,7.62,0.62,32.92,1.72,34.16,2.29,15.36,1.14,39.88,0.0,23.65,1.0,-1.0,3.0,2.0,2.0,13.97,13.49,8.0,3.0,5.0,7.0,3.8091,4.8666,2.4433,1.14,10.1609,32.26,3.0
0.75,32.21,1.58,35.19,0.42,29.32,3.6,27.28,1.71,21.0,3.2,38.94,0.39,34.99,7.89,12.32,16.92,27.82,0.46,24.25,3.94,31.14,0.0,0.0,1.0,1.0,3.0,16.92,1.58,10.0,1.0,4.0,9.0,3.7145,4.6905,4.2667,1.71,13.2055,26.62,1.0
0.8,18.76,7.27,35.59,5.28,14.36,17.25,25.97,4.09,22.7,0.76,21.67,4.47,26.76,4.91,17.45,0.81,29.15,4.29,30.55,0.89,25.21,0.0,1.0,2.0,1.0,3.0,17.25,4.91,10.0,1.0,4.0,8.0,4.62,4.5266,6.275,5.28,12.63,21.23,2.0
0.47,17.2,0.73,8.87,13.42,26.65,5.79,34.89,0.26,28.99,0.54,26.42,8.16,19.13,0.88,43.9,1.03,23.74,0.43,21.3,0.33,23.66,0.0,0.0,4.0,2.0,2.0,13.42,8.16,8.0,3.0,8.0,6.0,2.9127,4.1574,2.4667,0.73,10.5073,35.03,1.0
3.26,14.73,4.84,31.46,0.29,24.59,0.59,36.03,0.02,27.51,5.73,40.09,3.94,26.99,15.98,35.75,14.79,20.91,0.66,34.66,0.58,30.16,0.0,-2.0,3.0,2.0,0.0,15.98,14.79,9.0,2.0,5.0,7.0,4.6073,5.4291,3.1933,0.59,11.3727,25.36,1.0
0.78,34.13,4.28,28.5,3.36,24.09,5.4,34.83,12.35,25.94,7.42,19.89,0.94,30.48,8.09,39.06,0.66,27.66,0.59,24.26,4.19,31.25,0.0,-3.0,3.0,1.0,3.0,12.35,7.42,11.0,0.0,4.0,7.0,4.3691,3.5885,5.725,3.36,7.9809,19.17,2.0
0.45,17.87,0.71,31.94,1.32,36.21,0.62,23.37,0.78,19.82,1.26,29.64,1.66,9.74,8.33,15.36,4.48,20.02,15.21,33.87,6.29,43.67,3.0,1.0,3.0,3.0,1.0,15.21,8.33,8.0,3.0,6.0,6.0,3.7373,4.416,3.09,1.32,11.4727,33.93,0.0
1.04,23.54,9.55,26.72,1.12,21.27,0.98,18.06,1.21,26.47,5.68,20.17,4.16,20.37,4.68,39.02,4.71,24.38,3.04,28.22,4.11,13.76,0.0,1.0,2.0,2.0,1.0,9.55,5.68,10.0,1.0,4.0,8.0,3.6618,2.491,3.9433,3.04,5.8882,25.26,2.0
0.14,21.36,10.62,37.78,8.88,12.89,0.17,26.06,0.18,17.84,3.51,22.04,7.14,33.14,0.03,30.66,2.31,29.98,14.24,30.18,4.77,17.8,3.0,-2.0,2.0,3.0,3.0,14.24,4.77,9.0,2.0,4.0,7.0,4.7264,4.6726,8.88,7.14,9.5136,24.89,5.0
0.4,35.14,0.11,31.97,8.72,35.13,9.56,20.56,2.57,39.29,2.16,31.01,1.57,22.68,0.46,28.86,4.12,26.71,0.6,25.24,1.78,16.47,1.0,1.0,1.0,2.0,3.0,9.56,8.72,10.0,1.0,4.0,8.0,2.9136,3.1431,1.9733,1.57,6.6464,22.82,1.0
